EmployeeID,FirstName,LastName,Email,Title,Department,HireDate,Salary,SalesOfficeID
1,Levi,Kelly,levi.kelly@tailspintoys.com,HR Generalist,IT,2014-10-16,90000,3
2,Ella,Edwards,ella.edwards@tailspintoys.com,Sales Associate,HR,2023-10-17,63000,2
3,Andrew,Wright,andrew.wright@tailspintoys.com,Customer Success Manager,Customer Success,2018-10-14,75000,1
4,Anthony,Carter,anthony.carter@tailspintoys.com,Marketing Specialist,Customer Success,2019-11-02,72000,2
5,Hannah,King,hannah.king@tailspintoys.com,Customer Success Manager,IT,2019-06-25,78000,1
6,Jack,Clark,jack.clark@tailspintoys.com,Account Executive,IT,2022-03-26,113000,9
7,Camila,Collins,camila.collins@tailspintoys.com,IT Support,HR,2024-11-16,90000,10
8,Leah,Peterson,leah.peterson@tailspintoys.com,HR Generalist,HR,2017-08-31,87000,3
9,Leah,Lopez,leah.lopez@tailspintoys.com,IT Support,Marketing,2023-12-04,58000,5
10,Mason,King,mason.king@tailspintoys.com,HR Generalist,Operations,2025-11-04,84000,2
11,Aurora,Gray,aurora.gray@tailspintoys.com,Sales Manager,Finance,2015-11-29,82000,2
12,Hazel,Rodriguez,hazel.rodriguez@tailspintoys.com,Marketing Specialist,Customer Success,2014-10-09,79000,1
13,Avery,Baker,avery.baker@tailspintoys.com,Marketing Specialist,Customer Success,2018-12-28,90000,2
14,Anthony,Moore,anthony.moore@tailspintoys.com,Sales Associate,IT,2014-07-26,75000,10
15,Lincoln,Murphy,lincoln.murphy@tailspintoys.com,IT Support,HR,2015-09-21,89000,10
16,Brooklyn,Sanchez,brooklyn.sanchez@tailspintoys.com,Sales Manager,IT,2024-05-10,102000,8
17,Amelia,Brown,amelia.brown@tailspintoys.com,IT Support,Sales,2016-12-21,55000,4
18,Charlotte,Reyes,charlotte.reyes@tailspintoys.com,Sales Manager,Operations,2013-09-20,73000,7
19,Matthew,Collins,matthew.collins@tailspintoys.com,HR Generalist,IT,2016-04-07,98000,9
20,Emily,Garcia,emily.garcia@tailspintoys.com,Sales Manager,HR,2014-05-04,54000,8
21,Angel,Nguyen,angel.nguyen@tailspintoys.com,HR Generalist,IT,2022-04-03,93000,2
22,Hannah,Stewart,hannah.stewart@tailspintoys.com,Marketing Specialist,Finance,2017-05-24,71000,7
23,Abigail,Parker,abigail.parker@tailspintoys.com,Account Executive,Legal,2019-11-07,83000,4
24,Camila,Clark,camila.clark@tailspintoys.com,Account Executive,Customer Success,2016-09-12,56000,3
25,Gabriel,Mendoza,gabriel.mendoza@tailspintoys.com,Legal Counsel,Marketing,2022-04-06,82000,4
26,Grayson,Mitchell,grayson.mitchell@tailspintoys.com,Legal Counsel,Operations,2024-05-04,75000,1
27,David,Diaz,david.diaz@tailspintoys.com,Marketing Specialist,HR,2021-11-20,66000,9
28,Andrew,Watson,andrew.watson@tailspintoys.com,Sales Associate,Operations,2017-02-16,66000,5
29,Aubrey,Jenkins,aubrey.jenkins@tailspintoys.com,IT Support,Operations,2021-08-18,94000,7
30,John,Price,john.price@tailspintoys.com,Account Executive,IT,2019-09-24,77000,9
31,David,Hernandez,david.hernandez@tailspintoys.com,HR Generalist,Customer Success,2016-03-13,79000,2
32,Daniel,Nelson,daniel.nelson@tailspintoys.com,Customer Success Manager,IT,2015-12-14,68000,8
33,Grayson,Green,grayson.green@tailspintoys.com,Marketing Specialist,Marketing,2020-04-07,99000,6
34,John,Alvarez,john.alvarez@tailspintoys.com,HR Generalist,HR,2017-09-07,56000,5
35,Camila,Green,camila.green@tailspintoys.com,Sales Associate,HR,2025-08-25,53000,8
36,Leah,Nelson,leah.nelson@tailspintoys.com,Account Executive,Marketing,2021-06-20,95000,3
37,Julian,Walker,julian.walker@tailspintoys.com,Legal Counsel,Customer Success,2020-05-20,80000,3
38,Hazel,Cox,hazel.cox@tailspintoys.com,Legal Counsel,Sales,2020-05-09,107000,6
39,Levi,Chavez,levi.chavez@tailspintoys.com,Marketing Specialist,HR,2017-12-16,65000,3
40,Anna,Ramos,anna.ramos@tailspintoys.com,Marketing Specialist,HR,2022-01-26,75000,8
41,Gabriel,Hernandez,gabriel.hernandez@tailspintoys.com,Customer Success Manager,Sales,2016-09-23,88000,1
42,Angel,Thomas,angel.thomas@tailspintoys.com,Operations Coordinator,Operations,2018-07-13,66000,8
43,Natalie,Jackson,natalie.jackson@tailspintoys.com,Sales Associate,Marketing,2012-06-02,83000,10
